battery_health,cpu,created_at,disks,full_charge_capacity,graphicscard,manufacturer,model,operatingsystem,ram_gb,serialnumber,systemsku,touchscreen
96.8,Intel(R) Core(TM) i5-10310U CPU @ 1.70GHz (4C/8T),2025-02-18T15:45:00,256GB,49380,Intel(R) UHD Graphics [1920x1080],LENOVO,20UAS7VM00,Microsoft Windows 11 Pro 10.0.26100,16,PF22LSQG,LENOVO_MT_20UA_BU_Think_FM_ThinkPad X1 Carbon Gen 8,Yes Detected
99.96,Intel(R) Core(TM) i5-10310U CPU @ 1.70GHz (4C/8T),2025-02-18T15:41:00,256GB,50990,Intel(R) UHD Graphics [1920x1080],LENOVO,20UAS7VM00,Microsoft Windows 11 Pro 10.0.26100,16,PF2JWGRP,LENOVO_MT_20UA_BU_Think_FM_ThinkPad X1 Carbon Gen 8,Yes Detected
96.65,Intel(R) Core(TM) i5-10310U CPU @ 1.70GHz (4C/8T),2025-02-18T15:35:00,256GB,49300,Intel(R) UHD Graphics [1920x1080],LENOVO,20UAS7VM00,Microsoft Windows 11 Pro 10.0.26100,16,PF2JWQBH,LENOVO_MT_20UA_BU_Think_FM_ThinkPad X1 Carbon Gen 8,Yes Detected
88.49,Intel(R) Core(TM) i5-10310U CPU @ 1.70GHz (4C/8T),2025-02-18T15:27:00,256GB,45140,Intel(R) UHD Graphics [1920x1080],LENOVO,20UAS7VM00,Microsoft Windows 11 Pro 10.0.26100,16,PF2GAKAM,LENOVO_MT_20UA_BU_Think_FM_ThinkPad X1 Carbon Gen 8,Yes Detected
92.53,Intel(R) Core(TM) i5-10310U CPU @ 1.70GHz (4C/8T),2025-02-18T15:20:00,256GB,47200,Microsoft Basic Display Adapter [1920x1080],LENOVO,20UAS7VM00,Microsoft Windows 11 Pro 10.0.26100,16,PF2JWKPF,LENOVO_MT_20UA_BU_Think_FM_ThinkPad X1 Carbon Gen 8,Yes Detected
92.41,Intel(R) Core(TM) i5-10310U CPU @ 1.70GHz (4C/8T),2025-02-18T15:10:00,256GB,47140,Microsoft Basic Display Adapter [1920x1080],LENOVO,20UAS7VM00,Microsoft Windows 11 Pro 10.0.26100,16,PF2GCAV5,LENOVO_MT_20UA_BU_Think_FM_ThinkPad X1 Carbon Gen 8,Yes Detected
89.69,Intel(R) Core(TM) i5-8365U CPU @ 1.60GHz (4C/8T),2025-02-18T14:21:00,256GB,45250,Intel(R) UHD Graphics 620 [1920x1080],LENOVO,20N3S59H00,Microsoft Windows 11 Pro 10.0.26100,16,PF21TX9Z,LENOVO_MT_20N3_BU_Think_FM_ThinkPad T490,Not Detected
100,Intel(R) Core(TM) i7-9850H CPU @ 2.60GHz (6C/12T),2025-02-18T14:08:00,1TB,82080,Intel(R) UHD Graphics 630 [3840x2160]; NVIDIA Quadro RTX 5000 [Not Active],Dell Inc.,Precision 7740,Microsoft Windows 11 Pro 10.0.26100,64,57MQQ23,0927,Not Detected
81.81,Intel(R) Core(TM) i7-8650U CPU @ 1.90GHz (4C/8T),2025-02-18T13:26:00,256GB,46650,Intel(R) UHD Graphics 620 [2560x1440],LENOVO,20L7001YUS,Microsoft Windows 11 Pro 10.0.26100,16,PC14A79G,LENOVO_MT_20L7_BU_Think_FM_ThinkPad T480s,Not Detected
91.35,AMD Ryzen 5 PRO 5650U with Radeon Graphics (6C/12T),2025-02-18T13:21:00,512GB,46590,AMD Radeon(TM) Graphics [1920x1080],LENOVO,20XLS05M00,Microsoft Windows 11 Pro 10.0.26100,16,PF33MNFJ,LENOVO_MT_20XL_BU_Think_FM_ThinkPad T14 Gen 2a,Yes Detected
74.93,Intel(R) Core(TM) i7-8650U CPU @ 1.90GHz (4C/8T),2025-02-18T13:20:00,256GB,42710,Intel(R) UHD Graphics 620 [2560x1440],LENOVO,20L7001YUS,Microsoft Windows 11 Pro 10.0.26100,16,PC110X92,LENOVO_MT_20L7_BU_Think_FM_ThinkPad T480s,Not Detected
83.14,Intel(R) Core(TM) i7-8650U CPU @ 1.90GHz (4C/8T),2025-02-18T13:01:00,256GB,47390,Intel(R) UHD Graphics 620 [1920x1080],LENOVO,20L70025US,Microsoft Windows 11 Pro 10.0.26100,16,PC0WKCY6,LENOVO_MT_20L7_BU_Think_FM_ThinkPad T480s,Not Detected
87.76,AMD Ryzen 5 PRO 5650U with Radeon Graphics (6C/12T),2025-02-18T12:49:00,512GB,44760,AMD Radeon(TM) Graphics [1920x1080],LENOVO,20XLS05M00,Microsoft Windows 11 Pro 10.0.26100,16,PF2RDTDK,LENOVO_MT_20XL_BU_Think_FM_ThinkPad T14 Gen 2a,Yes Detected
101.94,AMD Ryzen 5 PRO 5650U with Radeon Graphics (6C/12T),2025-02-18T12:28:00,512GB,51480,AMD Radeon(TM) Graphics [1920x1080],LENOVO,20XLS05M00,Microsoft Windows 11 Pro 10.0.26100,16,PF32PVZ6,LENOVO_MT_20XL_BU_Think_FM_ThinkPad T14 Gen 2a,Yes Detected
88.63,AMD Ryzen 5 PRO 5650U with Radeon Graphics (6C/12T),2025-02-18T12:23:00,512GB,45200,AMD Radeon(TM) Graphics [1920x1080],LENOVO,20XLS05M00,Microsoft Windows 11 Pro 10.0.26100,16,PF2RDE6H,LENOVO_MT_20XL_BU_Think_FM_ThinkPad T14 Gen 2a,Yes Detected
88.22,AMD Ryzen 5 PRO 5650U with Radeon Graphics (6C/12T),2025-02-18T11:59:00,512GB,44990,AMD Radeon(TM) Graphics [1920x1080],LENOVO,20XLS05M00,Microsoft Windows 11 Pro 10.0.26100,16,PF33MGKD,LENOVO_MT_20XL_BU_Think_FM_ThinkPad T14 Gen 2a,Yes Detected
92.71,AMD Ryzen 5 PRO 5650U with Radeon Graphics (6C/12T),2025-02-18T11:57:00,512GB,47280,Microsoft Basic Display Adapter [1920x1080],LENOVO,20XLS05M00,Microsoft Windows 11 Pro 10.0.26100,16,PF2RDVXZ,LENOVO_MT_20XL_BU_Think_FM_ThinkPad T14 Gen 2a,Yes Detected
87.65,AMD Ryzen 5 PRO 5650U with Radeon Graphics (6C/12T),2025-02-18T11:51:00,512GB,44700,Microsoft Basic Display Adapter [1920x1080],LENOVO,20XLS05M00,Microsoft Windows 11 Pro 10.0.26100,16,PF2RCVHN,LENOVO_MT_20XL_BU_Think_FM_ThinkPad T14 Gen 2a,Yes Detected
69.86,AMD Ryzen 5 PRO 5650U with Radeon Graphics (6C/12T),2025-02-18T11:46:00,512GB,35630,Microsoft Basic Display Adapter [1920x1080],LENOVO,20XLS05M00,Microsoft Windows 11 Pro 10.0.26100,16,PF2RCVCW,LENOVO_MT_20XL_BU_Think_FM_ThinkPad T14 Gen 2a,Yes Detected
88.55,AMD Ryzen 5 PRO 5650U with Radeon Graphics (6C/12T),2025-02-18T11:43:00,512GB,45160,Microsoft Basic Display Adapter [1920x1080],LENOVO,20XLS05M00,Microsoft Windows 11 Pro 10.0.26100,16,PF31XQTZ,LENOVO_MT_20XL_BU_Think_FM_ThinkPad T14 Gen 2a,Yes Detected
89.12,Intel(R) Core(TM) i5-10310U CPU @ 1.70GHz (4C/8T),2025-02-18T11:41:00,256GB,45460,Microsoft Basic Display Adapter [1920x1080],LENOVO,20UAS7VM00,Microsoft Windows 11 Pro 10.0.26100,16,PF22M0HT,LENOVO_MT_20UA_BU_Think_FM_ThinkPad X1 Carbon Gen 8,Yes Detected
87.12,AMD Ryzen 5 PRO 5650U with Radeon Graphics (6C/12T),2025-02-18T10:50:00,512GB,44430,Microsoft Basic Display Adapter [1920x1080],LENOVO,20XLS05M00,Microsoft Windows 11 Pro 10.0.26100,16,PF33MPWZ,LENOVO_MT_20XL_BU_Think_FM_ThinkPad T14 Gen 2a,Yes Detected
101.94,AMD Ryzen 5 PRO 5650U with Radeon Graphics (6C/12T),2025-02-18T10:43:00,512GB,51480,Microsoft Basic Display Adapter [1920x1080],LENOVO,20XLS05M00,Microsoft Windows 11 Pro 10.0.26100,16,PF32PVXB,LENOVO_MT_20XL_BU_Think_FM_ThinkPad T14 Gen 2a,Yes Detected
NaN,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz (4C/4T),2025-02-18T10:02:00,512GB,NaN,Intel(R) HD Graphics 630 [3840x2160],LENOVO,10MLS08P00,Microsoft Windows 11 Pro 10.0.26100,16,MJ069L8J,LENOVO_MT_10ML_BU_Think_FM_ThinkCentre M910s,Not Detected
NaN,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz (4C/4T),2025-02-18T09:35:00,512GB,NaN,Intel(R) HD Graphics 630 [3840x2160],LENOVO,10MLS08P00,Microsoft Windows 11 Pro 10.0.26100,16,MJ069S5H,LENOVO_MT_10ML_BU_Think_FM_ThinkCentre M910s,Not Detected
NaN,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz (4C/4T),2025-02-15T16:00:00,512GB,NaN,Intel(R) HD Graphics 630 [3840x2160],LENOVO,10MLS08P00,Microsoft Windows 11 Pro 10.0.26100,16,MJ069S54,LENOVO_MT_10ML_BU_Think_FM_ThinkCentre M910s,Not Detected
NaN,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz (4C/4T),2025-02-15T15:48:00,512GB,NaN,Intel(R) HD Graphics 630 [3840x2160],LENOVO,10MLS08P00,Microsoft Windows 11 Pro 10.0.26100,16,MJ069L96,LENOVO_MT_10ML_BU_Think_FM_ThinkCentre M910s,Not Detected
NaN,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz (4C/4T),2025-02-15T15:37:00,512GB,NaN,Intel(R) HD Graphics 630 [3840x2160],LENOVO,10MLS08P00,Microsoft Windows 11 Pro 10.0.26100,16,MJ069L9J,LENOVO_MT_10ML_BU_Think_FM_ThinkCentre M910s,Not Detected
NaN,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz (4C/4T),2025-02-15T15:26:00,512GB,NaN,Intel(R) HD Graphics 630 [3840x2160],LENOVO,10MLS08P00,Microsoft Windows 11 Pro 10.0.26100,16,MJ069S2L,LENOVO_MT_10ML_BU_Think_FM_ThinkCentre M910s,Not Detected
NaN,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz (4C/4T),2025-02-15T14:52:00,512GB,NaN,Intel(R) HD Graphics 630 [3840x2160],LENOVO,10MLS08P00,Microsoft Windows 11 Pro 10.0.26100,16,MJ069S37,LENOVO_MT_10ML_BU_Think_FM_ThinkCentre M910s,Not Detected
85.39,AMD Ryzen 5 PRO 4650U with Radeon Graphics (6C/12T),2025-02-15T14:39:00,512GB,43120,AMD Radeon(TM) Graphics [1920x1080],LENOVO,20UD003LUS,Microsoft Windows 11 Pro 10.0.26100,16,PF37Y4MF,LENOVO_MT_20UD_BU_Think_FM_ThinkPad T14 Gen 1,Yes Detected
99.98,AMD Ryzen 5 PRO 4650U with Radeon Graphics (6C/12T),2025-02-15T14:28:00,512GB,50490,AMD Radeon(TM) Graphics [1920x1080],LENOVO,20UD003LUS,Microsoft Windows 11 Pro 10.0.26100,16,PF39ZTGL,LENOVO_MT_20UD_BU_Think_FM_ThinkPad T14 Gen 1,Yes Detected
NaN,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz (4C/4T),2025-02-15T14:11:00,512GB,NaN,Intel(R) HD Graphics 630 [3840x2160],LENOVO,10MLS08P00,Microsoft Windows 11 Pro 10.0.26100,16,MJ069S5Q,LENOVO_MT_10ML_BU_Think_FM_ThinkCentre M910s,Not Detected
77.45,Intel(R) Core(TM) i7-8650U CPU @ 1.90GHz (4C/8T),2025-02-14T17:03:00,512GB,41870,Intel(R) UHD Graphics 620 [2560x1440],LENOVO,20LES3481E,Microsoft Windows 11 Pro 10.0.26100,16,R90TDCEX,LENOVO_MT_20LE_BU_Think_FM_ThinkPad X1 Yoga 3rd,Yes Detected
101.94,AMD Ryzen 5 PRO 5650U with Radeon Graphics (6C/12T),2025-02-14T16:38:00,512GB,51480,AMD Radeon(TM) Graphics [1920x1080],LENOVO,20XLS05M00,Microsoft Windows 11 Pro 10.0.26100,16,PF32PY7J,LENOVO_MT_20XL_BU_Think_FM_ThinkPad T14 Gen 2a,Yes Detected
101.94,AMD Ryzen 5 PRO 5650U with Radeon Graphics (6C/12T),2025-02-14T16:28:00,512GB,51480,Microsoft Basic Display Adapter [1920x1080],LENOVO,20XLS05M00,Microsoft Windows 11 Pro 10.0.26100,16,PF32PKSF,LENOVO_MT_20XL_BU_Think_FM_ThinkPad T14 Gen 2a,Yes Detected
86.84,AMD Ryzen 5 PRO 5650U with Radeon Graphics (6C/12T),2025-02-14T16:20:00,512GB,44290,Microsoft Basic Display Adapter [1920x1080],LENOVO,20XLS05M00,Microsoft Windows 11 Pro 10.0.26100,16,PF33MCBB,LENOVO_MT_20XL_BU_Think_FM_ThinkPad T14 Gen 2a,Yes Detected
95.67,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz (4C/8T),2025-02-14T16:18:00,512GB,48800,Microsoft Basic Display Adapter [1920x1080],LENOVO,20U9002NUS,Microsoft Windows 11 Pro 10.0.26100,16,PF3015RY,LENOVO_MT_20U9_BU_Think_FM_ThinkPad X1 Carbon Gen 8,Yes Detected
88.92,AMD Ryzen 5 PRO 5650U with Radeon Graphics (6C/12T),2025-02-14T16:08:00,512GB,45350,Microsoft Basic Display Adapter [1920x1080],LENOVO,20XLS05M00,Microsoft Windows 11 Pro 10.0.26100,16,PF2RCLDF,LENOVO_MT_20XL_BU_Think_FM_ThinkPad T14 Gen 2a,Yes Detected
93.82,AMD Ryzen 5 PRO 5650U with Radeon Graphics (6C/12T),2025-02-14T15:59:00,512GB,47850,Microsoft Basic Display Adapter [1920x1080],LENOVO,20XLS05M00,Microsoft Windows 11 Pro 10.0.26100,16,PF2RDT2Q,LENOVO_MT_20XL_BU_Think_FM_ThinkPad T14 Gen 2a,Yes Detected
91.92,AMD Ryzen 5 PRO 5650U with Radeon Graphics (6C/12T),2025-02-14T15:14:00,512GB,46880,Microsoft Basic Display Adapter [1920x1080],LENOVO,20XLS05M00,Microsoft Windows 11 Pro 10.0.26100,16,PF33MB69,LENOVO_MT_20XL_BU_Think_FM_ThinkPad T14 Gen 2a,Yes Detected
87.47,AMD Ryzen 5 PRO 5650U with Radeon Graphics (6C/12T),2025-02-14T15:05:00,512GB,44610,Microsoft Basic Display Adapter [1920x1080],LENOVO,20XLS05M00,Microsoft Windows 11 Pro 10.0.26100,16,PF33MRZN,LENOVO_MT_20XL_BU_Think_FM_ThinkPad T14 Gen 2a,Yes Detected
NaN,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz (4C/4T),2025-02-14T14:50:00,512GB,NaN,Intel(R) HD Graphics 630 [3840x2160],LENOVO,10MLS08P00,Microsoft Windows 11 Pro 10.0.26100,16,MJ069S3S,LENOVO_MT_10ML_BU_Think_FM_ThinkCentre M910s,Not Detected
102.97,AMD Ryzen 5 PRO 4650U with Radeon Graphics (6C/12T),2025-02-14T14:45:00,512GB,52000,AMD Radeon(TM) Graphics [1920x1080],LENOVO,20UD003LUS,Microsoft Windows 11 Pro 10.0.26100,16,PF37XPZE,LENOVO_MT_20UD_BU_Think_FM_ThinkPad T14 Gen 1,Yes Detected
NaN,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz (4C/4T),2025-02-14T14:36:00,512GB,NaN,Intel(R) HD Graphics 630 [3840x2160],LENOVO,10MLS08P00,Microsoft Windows 11 Pro 10.0.26100,16,MJ069L8H,LENOVO_MT_10ML_BU_Think_FM_ThinkCentre M910s,Not Detected
86.9,AMD Ryzen 5 PRO 5650U with Radeon Graphics (6C/12T),2025-02-14T14:25:00,512GB,44320,Microsoft Basic Display Adapter [1920x1080],LENOVO,20XLS05M00,Microsoft Windows 11 Pro 10.0.26100,16,PF2RCS52,LENOVO_MT_20XL_BU_Think_FM_ThinkPad T14 Gen 2a,Yes Detected
NaN,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz (4C/4T),2025-02-14T14:19:00,512GB,NaN,Intel(R) HD Graphics 630 [3840x2160],LENOVO,10MLS08P00,Microsoft Windows 11 Pro 10.0.26100,16,MJ069S5A,LENOVO_MT_10ML_BU_Think_FM_ThinkCentre M910s,Not Detected
101.94,AMD Ryzen 5 PRO 5650U with Radeon Graphics (6C/12T),2025-02-14T14:14:00,512GB,51480,Microsoft Basic Display Adapter [1920x1080],LENOVO,20XLS05M00,Microsoft Windows 11 Pro 10.0.26100,16,PF32PKXC,LENOVO_MT_20XL_BU_Think_FM_ThinkPad T14 Gen 2a,Yes Detected
NaN,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz (4C/4T),2025-02-14T13:58:00,512GB,NaN,Intel(R) HD Graphics 630 [3840x2160],LENOVO,10MLS08P00,Microsoft Windows 11 Pro 10.0.26100,16,MJ069L9Y,LENOVO_MT_10ML_BU_Think_FM_ThinkCentre M910s,Not Detected
86,Intel(R) Core(TM) i5-8365U CPU @ 1.60GHz (4C/8T),2025-02-14T13:43:00,256GB,49040,Intel(R) UHD Graphics 620 [1920x1080],LENOVO,20NYS3DP00,Microsoft Windows 11 Pro 10.0.22631,16,PC1H9C60,LENOVO_MT_20NY_BU_Think_FM_ThinkPad T490s,Yes Detected
NaN,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz (4C/4T),2025-02-14T13:30:00,512GB,NaN,Intel(R) HD Graphics 630 [3840x2160],LENOVO,10MLS08P00,Microsoft Windows 11 Pro 10.0.26100,16,MJ069S3K,LENOVO_MT_10ML_BU_Think_FM_ThinkCentre M910s,Not Detected
103.79,AMD Ryzen 5 PRO 5675U with Radeon Graphics (6C/12T),2025-02-14T12:21:00,512GB,43590,AMD Radeon (TM) Graphics [1920x1080],LENOVO,21C6S4WY00,Microsoft Windows 11 Pro 10.0.22631,32,PW0984R3,LENOVO_MT_21C6_BU_Think_FM_ThinkPad L14 Gen 3,Yes Detected
73.86,Intel(R) Core(TM) i7-8650U CPU @ 1.90GHz (4C/8T),2025-02-14T11:46:00,256GB,42100,Intel(R) UHD Graphics 620 [1920x1080],LENOVO,20L70025US,Microsoft Windows 11 Pro 10.0.26100,16,PC0X8DFZ,LENOVO_MT_20L7_BU_Think_FM_ThinkPad T480s,Not Detected
92.45,Intel(R) Core(TM) i7-8665U CPU @ 1.90GHz (4C/8T),2025-02-14T11:37:00,512GB,46640,Intel(R) UHD Graphics 620 [2560x1440],LENOVO,20N20042US,Microsoft Windows 11 Pro 10.0.26100,16,PF146Q45,LENOVO_MT_20N2_BU_Think_FM_ThinkPad T490,Not Detected
75.22,Intel(R) Core(TM) i5-6300U CPU @ 2.40GHz (2C/4T),2025-02-14T10:50:00,256GB,41367,Intel(R) HD Graphics 520 [1920x1080],Dell Inc.,Latitude E7470,Microsoft Windows 11 Pro 10.0.22631,16,50V5CG2,06DC,Not Detected
93.97,11th Gen Intel(R) Core(TM) i5-1145G7 @ 2.60GHz (4C/8T),2025-02-14T09:56:00,512GB,47410,Intel(R) Iris(R) Xe Graphics [1920x1080],LENOVO,20W1SBGE00,Microsoft Windows 11 Pro 10.0.26100,16,PF4198Q9,LENOVO_MT_20W1_BU_Think_FM_ThinkPad T14 Gen 2i,Not Detected
101.94,AMD Ryzen 5 PRO 5650U with Radeon Graphics (6C/12T),2025-02-13T17:03:00,512GB,51480,AMD Radeon(TM) Graphics [1920x1080],LENOVO,20XLS05M00,Microsoft Windows 11 Pro 10.0.26100,16,PF32PY7J,LENOVO_MT_20XL_BU_Think_FM_ThinkPad T14 Gen 2a,Yes Detected
81,Intel(R) Core(TM) i5-8250U CPU @ 1.60GHz (4C/8T),2025-02-13T15:54:00,256GB,46170,Intel(R) UHD Graphics 620 [1920x1080],LENOVO,20L8S21300,Microsoft Windows 11 Pro 10.0.26100,16,PC10AD51,LENOVO_MT_20L8_BU_Think_FM_ThinkPad T480s,Not Detected
75.75,Intel(R) Core(TM) i5-8365U CPU @ 1.60GHz (4C/8T),2025-02-13T13:24:00,256GB,43190,Microsoft Basic Display Adapter [1920x1080],LENOVO,20NYS3DP00,Microsoft Windows 11 Pro 10.0.26100,16,PC1H9AAD,LENOVO_MT_20NY_BU_Think_FM_ThinkPad T490s,Yes Detected
104.31,Intel(R) Core(TM) i5-6300U CPU @ 2.40GHz (2C/4T),2025-02-13T11:44:00,256GB,44770,Intel(R) HD Graphics 520 [1920x1080],Dell Inc.,Latitude 7480,Microsoft Windows 11 Pro 10.0.26100,16,90C84M2,07A0,Not Detected
84.4,Intel(R) Core(TM) i5-6300U CPU @ 2.40GHz (2C/4T),2025-02-13T10:07:00,256GB,50639,Intel(R) HD Graphics 520 [1920x1080],Dell Inc.,Latitude 7480,Microsoft Windows 11 Pro 10.0.26100,16,7P3S3M2,07A0,Not Detected
83.16,Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz (4C/8T),2025-02-12T15:54:00,256GB,47420,Microsoft Basic Display Adapter [1920x1080],LENOVO,20N4001NUS,Microsoft Windows 11 Pro 10.0.26100,16,MJ0AMVN9,LENOVO_MT_20N4_BU_Think_FM_ThinkPad T590,Not Detected
77.74,Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz (4C/8T),2025-02-12T15:46:00,256GB,44330,Microsoft Basic Display Adapter [1920x1080],LENOVO,20N4001NUS,Microsoft Windows 11 Pro 10.0.26100,16,MJ0AMW3G,LENOVO_MT_20N4_BU_Think_FM_ThinkPad T590,Not Detected
74.1,Intel(R) Core(TM) i7-8650U CPU @ 1.90GHz (4C/8T),2025-02-12T14:28:00,512GB,40060,Intel(R) UHD Graphics 620 [2560x1440],LENOVO,20LES3481E,Microsoft Windows 11 Pro 10.0.26100,16,R90VR9HA,LENOVO_MT_20LE_BU_Think_FM_ThinkPad X1 Yoga 3rd,Yes Detected
96.38,11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz (4C/8T),2025-02-12T11:52:00,1TB,70756,Intel(R) Iris(R) Xe Graphics [1920x1080],ADATA,XENIAXe15TI7G11GXELX,Microsoft Windows 11 Pro 10.0.26100,4,MRBC12301CF3,XENIAXe15TI7G11GXELX-SGCUS,Not Detected
89.63,AMD Ryzen 5 PRO 4650U with Radeon Graphics (6C/12T),2025-02-12T11:35:00,256GB,45710,AMD Radeon(TM) Graphics [1920x1080],LENOVO,20UD003MUS,Microsoft Windows 11 Pro 10.0.26100,16,PF37P0SP,LENOVO_MT_20UD_BU_Think_FM_ThinkPad T14 Gen 1,Not Detected
96.65,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz (4C/8T),2025-02-12T11:09:00,512GB,49300,Intel(R) UHD Graphics [2560x1440],LENOVO,20U9002NUS,Microsoft Windows 11 Pro 10.0.26100,16,PF2Z9PBJ,LENOVO_MT_20U9_BU_Think_FM_ThinkPad X1 Carbon Gen 8,Not Detected
96.53,Intel(R) Core(TM) i7-10510U CPU @ 1.80GHz (4C/8T),2025-02-11T17:33:00,512GB,48700,Intel(R) UHD Graphics [3840x2160],LENOVO,20S0002QUS,Microsoft Windows 11 Pro 10.0.26100,16,PF2TF7KN,LENOVO_MT_20S0_BU_Think_FM_ThinkPad T14 Gen 1,Not Detected
99.98,Intel(R) Core(TM) i5-10310U CPU @ 1.70GHz (4C/8T),2025-02-11T17:14:00,512GB,50490,Intel(R) UHD Graphics [1920x1080],LENOVO,20S00037US,Microsoft Windows 11 Pro 10.0.26100,16,PF2XGR17,LENOVO_MT_20S0_BU_Think_FM_ThinkPad T14 Gen 1,Not Detected
88.66,Intel(R) Core(TM) i7-8665U CPU @ 1.90GHz (4C/8T),2025-02-11T17:05:00,512GB,44730,Intel(R) UHD Graphics 620 [2560x1440],LENOVO,20N20042US,Microsoft Windows 11 Pro 10.0.26100,16,PF146FKY,LENOVO_MT_20N2_BU_Think_FM_ThinkPad T490,Not Detected
100.71,13th Gen Intel(R) Core(TM) i7-1355U (10C/12T),2025-02-11T16:19:00,512GB,45320,Intel(R) Iris(R) Xe Graphics [1920x1200],LENOVO,21KH,Microsoft Windows 11 Pro 10.0.26100,16,PW08LMBJ,LENOVO_MT_21KH_BU_idea_FM_ThinkBook 16 G6 IRL,Not Detected
83.01,Intel(R) Core(TM) i7-8665U CPU @ 1.90GHz (4C/8T),2025-02-11T15:12:00,512GB,41880,Intel(R) UHD Graphics 620 [2560x1440],LENOVO,20N20042US,Microsoft Windows 11 Pro 10.0.26100,16,PF147S6E,LENOVO_MT_20N2_BU_Think_FM_ThinkPad T490,Not Detected
NaN,13th Gen Intel(R) Core(TM) i5-13420H (5C/5T),2025-02-11T15:10:00,512GB,NaN,Intel(R) UHD Graphics [2560x1440],LENOVO,F0HM0038US,Microsoft Windows 11 Home 10.0.26100,16,MP2ALHM4,LENOVO_MT_F0HM_BU_Lenovo_FM_IdeaCentre AIO 27IRH9,Yes Detected
99.98,Intel(R) Core(TM) i5-10210U CPU @ 1.60GHz (4C/8T),2025-02-11T15:01:00,512GB,50490,Intel(R) UHD Graphics [1920x1080],LENOVO,20S1S1ST00,Microsoft Windows 11 Pro 10.0.26100,16,PF2V6AJS,LENOVO_MT_20S1_BU_Think_FM_ThinkPad T14 Gen 1,Not Detected
99.98,Intel(R) Core(TM) i5-10210U CPU @ 1.60GHz (4C/8T),2025-02-11T14:08:00,512GB,50490,Intel(R) UHD Graphics [1920x1080],LENOVO,20S1S1ST00,Microsoft Windows 11 Pro 10.0.26100,16,PF2V6AJS,LENOVO_MT_20S1_BU_Think_FM_ThinkPad T14 Gen 1,Not Detected
82.41,Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz (4C/8T),2025-02-11T12:14:00,256GB,46990,Intel(R) UHD Graphics 620 [1920x1080],LENOVO,20NX001TUS,Microsoft Windows 11 Pro 10.0.22631,16,PC189A4V,LENOVO_MT_20NX_BU_Think_FM_ThinkPad T490s,Not Detected
102.09,AMD Ryzen 7 8845HS w/ Radeon 780M Graphics (8C/16T),2025-02-11T11:51:00,1TB,58190,AMD Radeon 780M Graphics [1920x1200],LENOVO,83DS,Microsoft Windows 11 Home 10.0.26100,16,YX0BQD5E,LENOVO_MT_83DS_BU_idea_FM_IdeaPad 5 2-in-1 16AHP9,Yes Detected
100,AMD Ryzen 7 PRO 7840U w/ Radeon 780M Graphics (8C/16T),2025-02-11T11:33:00,1TB,52500,AMD Radeon(TM) 780M [1920x1200],LENOVO,21K8S02U00,Microsoft Windows 11 Pro 10.0.26100,16,PF5D2T07,LENOVO_MT_21K8_BU_Think_FM_ThinkPad T16 Gen 2,Not Detected
95.23,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz (6C/12T),2025-02-11T11:14:00,512GB,85710,Intel(R) UHD Graphics 630 [3840x2160]; NVIDIA GeForce RTX 2070 with Max-Q Design [Not Active],Alienware,Alienware m15,Microsoft Windows 11 Home 10.0.22631,16,5M1DP42,08A1,Not Detected
79.2,Intel(R) Core(TM) i5-8365U CPU @ 1.60GHz (4C/8T),2025-02-11T10:09:00,256GB,45160,Intel(R) UHD Graphics 620 [1920x1080],LENOVO,20NYS3DP00,Microsoft Windows 11 Pro 10.0.26100,16,PC1H9AZ7,LENOVO_MT_20NY_BU_Think_FM_ThinkPad T490s,Yes Detected
101.37,13th Gen Intel(R) Core(TM) i5-1335U (10C/12T),2025-02-11T10:08:00,512GB,71970,Intel(R) Iris(R) Xe Graphics [2240x1400],LENOVO,82YL,Microsoft Windows 11 Home 10.0.22631,16,YX06XA3C,LENOVO_MT_82YL_BU_idea_FM_Yoga 7 14IRL8,Yes Detected
89.59,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz (4C/8T),2025-02-11T09:53:00,512GB,45200,Intel(R) UHD Graphics [1920x1080],LENOVO,20S0003QUS,Microsoft Windows 11 Pro 10.0.26100,16,PF33GWG5,LENOVO_MT_20S0_BU_Think_FM_ThinkPad T14 Gen 1,Yes Detected
