battery_health,cpu,created_at,disks,full_charge_capacity,graphicscard,manufacturer,model,operatingsystem,ram_gb,serialnumber,systemsku,touchscreen
74.6,Intel(R) Core(TM) i5-8365U CPU @ 1.60GHz (4C/8T),2024-12-06T11:02:00,238.47GB,50730,Intel(R) UHD Graphics 620 [1920x1080],Dell Inc.,Latitude 5400,Microsoft Windows 11 Pro 10.0.22631,16,F9XN1Z2,08B8,nan
76.98,Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz (4C/8T),2024-12-06T10:56:00,238.47GB,52349,Intel(R) UHD Graphics 620 [1920x1080],Dell Inc.,Latitude 5400,Microsoft Windows 11 Pro 10.0.22631,16,FZ7W333,08B8,nan
90.37,Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz (4C/8T),2024-12-06T10:52:00,238.47GB,61454,Intel(R) UHD Graphics 620 [1920x1080],Dell Inc.,Latitude 5400,Microsoft Windows 11 Pro 10.0.22631,16,1QC55Y2,08B8,nan
90.3,Intel(R) Core(TM) i5-8365U CPU @ 1.60GHz (4C/8T),2024-12-06T10:47:00,238.47GB,61408,Intel(R) UHD Graphics 620 [1920x1080],Dell Inc.,Latitude 5400,Microsoft Windows 11 Pro 10.0.22631,16,461F0Z2,08B8,nan
75.08,Intel(R) Core(TM) i5-8365U CPU @ 1.60GHz (4C/8T),2024-12-06T10:43:00,238.47GB,51057,Intel(R) UHD Graphics 620 [1366x768],Dell Inc.,Latitude 5400,Microsoft Windows 11 Pro 10.0.22631,16,GK653Z2,08B8,nan
87.27,Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz (4C/8T),2024-12-06T10:38:00,238.47GB,59348,Intel(R) UHD Graphics 620 [1920x1080],Dell Inc.,Latitude 5400,Microsoft Windows 11 Pro 10.0.22631,16,HMKS4Y2,08B8,nan
96.89,Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz (4C/8T),2024-12-06T10:34:00,238.47GB,49419,Intel(R) UHD Graphics 620 [1366x768],Dell Inc.,Latitude 5400,Microsoft Windows 11 Pro 10.0.22631,16,G5750X2,08B8,nan
89.81,Intel(R) Core(TM) i5-8365U CPU @ 1.60GHz (4C/8T),2024-12-06T10:25:00,238.47GB,45805,Intel(R) UHD Graphics 620 [1366x768],Dell Inc.,Latitude 5400,Microsoft Windows 11 Pro 10.0.22631,16,HGQW3X2,08B8,nan
85.73,Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz (4C/8T),2024-12-06T09:39:00,238.47GB,43250,Intel(R) UHD Graphics 620 [1920x1080],LENOVO,20N20032US,Microsoft Windows 11 Pro 10.0.22631,16,MJ0ASMMY,LENOVO_MT_20N2_BU_Think_FM_ThinkPad T490,nan
87.04,Intel(R) Core(TM) i7-8665U CPU @ 1.90GHz (4C/8T),2024-12-05T16:30:00,238.47GB,44400,Intel(R) UHD Graphics 620 [1920x1080],LENOVO,20QES3260Z,Microsoft Windows 11 Pro 10.0.26100,16,PF2118AE,LENOVO_MT_20QE_BU_Think_FM_ThinkPad X1 Carbon 7th,nan
NaN,AMD Ryzen 7 7700X 8-Core Processor (8C/16T),2024-12-05T13:05:00,931.51GB,NaN,AMD Radeon(TM) Graphics [Not Active]; NVIDIA GeForce RTX 4060 Ti [3840x2160],"Gigabyte Technology Co., Ltd.",B650 EAGLE AX,Microsoft Windows 11 Pro 10.0.22631,32,Default string,Default string,nan
100,AMD Ryzen 7 7730U with Radeon Graphics (8C/16T),2024-12-05T11:35:00,476.94GB,52500,AMD Radeon (TM) Graphics [1920x1200],LENOVO,82XX,Microsoft Windows 11 Home 10.0.26100,16,PW07M102,LENOVO_MT_82XX_BU_idea_FM_IdeaPad Flex 5 14ABR8,nan
88.08,Intel(R) Core(TM) i7-8665U CPU @ 1.90GHz (4C/8T),2024-12-05T11:19:00,476.94GB,44930,Intel(R) UHD Graphics 620 [2560x1440],LENOVO,20QD0007US,Microsoft Windows 11 Pro 10.0.26100,16,MJ0B0E8K,LENOVO_MT_20QD_BU_Think_FM_ThinkPad X1 Carbon 7th,nan
48.61,Intel(R) Core(TM) i7-8650U CPU @ 1.90GHz (4C/8T),2024-12-04T16:27:00,476.94GB,27710,Intel(R) UHD Graphics 620 [1920x1080],LENOVO,20KGS8GB23,Microsoft Windows 11 Pro 10.0.26100,16,PF1P3F6Q,LENOVO_MT_20KG_BU_Think_FM_ThinkPad X1 Carbon 6th,nan
74.69,Intel(R) Core(TM) i7-8850H CPU @ 2.60GHz (6C/12T),2024-12-04T15:58:00,476.94GB,60050,Intel(R) UHD Graphics 630 [3840x2160]; NVIDIA GeForce GTX 1050 Ti with Max-Q Design [Not Active],LENOVO,20MF000CUS,Microsoft Windows 11 Pro 10.0.22631,16,R90WATCY,LENOVO_MT_20MF_BU_Think_FM_ThinkPad X1 Extreme,nan
85.05,AMD Ryzen 7 PRO 5850U with Radeon Graphics (8C/16T),2024-12-04T14:32:00,476.94GB,42950,AMD Radeon(TM) Graphics [1920x1080],LENOVO,20XK0019US,Microsoft Windows 11 Pro 10.0.26100,16,PF33EBX6,LENOVO_MT_20XK_BU_Think_FM_ThinkPad T14 Gen 2a,nan
92.63,Intel(R) Core(TM) i5-10310U CPU @ 1.70GHz (4C/8T),2024-12-04T11:12:00,476.94GB,46730,Intel(R) UHD Graphics [1920x1080],LENOVO,20S00037CA,Microsoft Windows 11 Pro 10.0.26100,16,PF2VJ9H1,LENOVO_MT_20S0_BU_Think_FM_ThinkPad T14 Gen 1,nan
